0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
11376,,вот,ВОТ,PART,,,И _вот_ этот вот принцип,т,о,в,,,,PART,ВОТ,PART,Т
11377,,этот,ЭТОТ,APRO - nom sg plen m -,,,"И вот _этот_ вот принцип ,",т,о,т,э,,,APRO,ЭТОТ,A - nom sg plen m -,Т
11378,,вот,ВОТ,PART,,,"И вот этот _вот_ принцип , когда",т,о,в,,,,PART,ВОТ,PART,Т
11379,,принцип,ПРИНЦИП,S m inan nom sg,,,"вот этот вот _принцип_ , когда ты",п,и,ц,н,и,р,S,ПРИНЦИП,S m inan nom sg,П
11380,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11381,,когда,КОГДА,CONJ,,,"вот принцип , _когда_ ты гадаешь просто",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11382,,ты,ТЫ,SPRO sg 2p - nom,,,"принцип , когда _ты_ гадаешь просто вот",ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
11383,,гадаешь,ГАДАТЬ,V ipf praes sg indic - 2p,,,", когда ты _гадаешь_ просто вот ...",ь,ш,е,а,д,а,V,ГАДАТЬ,V ipf praes sg indic - 2p,Ь
11384,,просто,ПРОСТО,PART,,,когда ты гадаешь _просто_ вот ... гадать,о,т,с,о,р,п,PART,ПРОСТО,PART,О
11385,,вот,ВОТ,PART,,,ты гадаешь просто _вот_ ... гадать по,т,о,в,,,,PART,ВОТ,PART,Т
11386,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11387,,гадать,ГАДАТЬ,V ipf - - inf - -,,,"просто вот ... _гадать_ по тому ,",ь,т,а,д,а,г,V,ГАДАТЬ,V ipf - - inf - -,Ь
11388,,по,ПО,PR,,,"вот ... гадать _по_ тому , что",о,п,,,,,PR,ПО,PR,О
11389,,тому,ТО,SPRO n - dat sg,,,"... гадать по _тому_ , что ты",у,м,о,т,,,SPRO,ТО,S n - dat sg,О
11390,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11391,,что,ЧТО,CONJ,,,"по тому , _что_ ты себе представляешь",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11392,,ты,ТЫ,SPRO sg 2p - nom,,,"тому , что _ты_ себе представляешь ,",ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
11393,,себе,СЕБЯ,SPRO - - - dat,,,", что ты _себе_ представляешь , и",е,б,е,с,,,SPRO,СЕБЯ,SPRO - - - dat,Я
11394,,представляешь,ПРЕДСТАВЛЯТЬ,V ipf praes sg indic - 2p,,,"что ты себе _представляешь_ , и так",ь,ш,е,я,л,в,V,ПРЕДСТАВЛЯТЬ,V ipf praes sg indic - 2p,Ь
11395,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11396,,и,И,CONJ,,,"себе представляешь , _и_ так , как",и,,,,,,CONJ,И,CONJ,И
11397,,так,ТАК!,ADVPRO -,,,"представляешь , и _так_ , как гадается",к,а,т,,,,ADV,ТАК,ADV -,К
11398,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11399,,как,КАК!,ADVPRO -,,,"и так , _как_ гадается , а",к,а,к,,,,ADV,КАК,ADV -,К
11400,,гадается,ГАДАТЬСЯ!,V pf praes sg indic - 3p,,,"так , как _гадается_ , а не",я,с,т,е,а,д,V,ГАДАТЬСЯ,V pf fut sg indic - 3p,Я
11401,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11402,,а,А,CONJ,,,"как гадается , _а_ не по тому",а,,,,,,CONJ,А,CONJ,А
11403,,не,НЕ,PART,,,"гадается , а _не_ по тому ,",е,н,,,,,PART,НЕ,PART,Е
11404,,по,ПО,PR,,,", а не _по_ тому , что",о,п,,,,,PR,ПО,PR,О
11405,,тому,ТО,SPRO n - dat sg,,,"а не по _тому_ , что написано",у,м,о,т,,,SPRO,ТО,S n - dat sg,О
11406,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11407,,что,ЧТО,CONJ,,,"по тому , _что_ написано во всяких",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11408,,написано,НАПИСАТЬ,PARTCP pf praet - sg brev n pass -,,,"тому , что _написано_ во всяких там",о,н,а,с,и,п,PARTCP,НАПИСАТЬ,PARTCP pf praet - sg brev n pass -,Ь
11409,,во,ВО,PR,,,", что написано _во_ всяких там бумажках",о,в,,,,,PR,ВО,PR,О
11410,,всяких,ВСЯКИЙ!,APRO - loc2 pl plen - -,,,"что написано во _всяких_ там бумажках ,",х,и,к,я,с,в,A,ВСЯКИЙ,A - gen pl plen - -,Й
11411,,там,ТАМ,PART,,,"написано во всяких _там_ бумажках , объяснениях",м,а,т,,,,PART,ТАМ,PART,М
11412,,бумажках,БУМАЖКА,S f inan loc pl,,,"во всяких там _бумажках_ , объяснениях и",х,а,к,ж,а,м,S,БУМАЖКА,S f inan loc pl,А
11413,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11414,,объяснениях,ОБЪЯСНЕНИЕ,S n inan loc pl,,,"там бумажках , _объяснениях_ и так далее",х,я,и,н,е,н,S,ОБЪЯСНЕНИЕ,S n inan loc pl,Е
11415,,и,И,CONJ,,,"бумажках , объяснениях _и_ так далее ,",и,,,,,,CONJ,И,CONJ,И
11416,,так,ТАК!,ADVPRO -,,,", объяснениях и _так_ далее , он",к,а,т,,,,ADV,ТАК,ADV -,К
11417,,далее,ДАЛЕЕ,ADV -,,,"объяснениях и так _далее_ , он ко",е,е,л,а,д,,ADV,ДАЛЕЕ,ADV -,Е
11418,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11419,,он,ОН,SPRO sg 3p m nom,,,"так далее , _он_ ко мне очень",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
11420,,ко,КО,PR,,,"далее , он _ко_ мне очень привязался",о,к,,,,,PR,КО,PR,О
11421,,мне,Я,SPRO sg 1p - dat,,,", он ко _мне_ очень привязался ,",е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
11422,,очень,ОЧЕНЬ,ADV -,,,"он ко мне _очень_ привязался , и",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
11423,,привязался,ПРИВЯЗАТЬСЯ,V pf praet sg indic m -,,,"ко мне очень _привязался_ , и я",я,с,л,а,з,я,V,ПРИВЯЗАТЬСЯ,V pf praet sg indic m -,Я
11424,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11425,,и,И,CONJ,,,"очень привязался , _и_ я могу сказать",и,,,,,,CONJ,И,CONJ,И
11426,,я,Я,SPRO sg 1p - nom,,,"привязался , и _я_ могу сказать ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11427,,могу,МОЧЬ,V ipf praes sg indic - 1p,,,", и я _могу_ сказать , что",у,г,о,м,,,V,МОЧЬ,V ipf praes sg indic - 1p,Ь
11428,,сказать,СКАЗАТЬ,V pf - - inf - -,,,"и я могу _сказать_ , что он",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
11429,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11430,,что,ЧТО,CONJ,,,"могу сказать , _что_ он очень повлиял",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11431,,он,ОН,SPRO sg 3p m nom,,,"сказать , что _он_ очень повлиял на",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
11432,,очень,ОЧЕНЬ,ADV -,,,", что он _очень_ повлиял на какой-то",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
11433,,повлиял,ПОВЛИЯТЬ,V pf praet sg indic m -,,,что он очень _повлиял_ на какой-то аспект,л,я,и,л,в,о,V,ПОВЛИЯТЬ,V pf praet sg indic m -,Ь
11434,,на,НА,PR,,,он очень повлиял _на_ какой-то аспект моей,а,н,,,,,PR,НА,PR,А
11435,,какой-то,КАКОЙ-ТО!,APRO - gen sg plen m inan,,,очень повлиял на _какой-то_ аспект моей жизни,о,т,-,й,о,к,APRO,КАКОЙ-ТО,A - acc sg plen m inan,О
11436,,аспект,АСПЕКТ,S m inan acc sg,,,"повлиял на какой-то _аспект_ моей жизни ,",т,к,е,п,с,а,S,АСПЕКТ,S m inan acc sg,Т
11437,,моей,МОЙ!,APRO - acc sg plen f -,,,"на какой-то аспект _моей_ жизни , связанный",й,е,о,м,,,APRO,МОЙ,A - gen sg plen f -,Й
11438,,жизни,ЖИЗНЬ,S f inan gen sg,,,"какой-то аспект моей _жизни_ , связанный с",и,н,з,и,ж,,S,ЖИЗНЬ,S f inan gen sg,Ь
11439,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11440,,связанный,СВЯЗАТЬ!,V pf praet tran partcp pass acc sg plen m,,,"моей жизни , _связанный_ с , эээ",й,ы,н,н,а,з,A,СВЯЗАННЫЙ,A - acc sg plen m inan,Й
11441,,с,С,PR,,,"жизни , связанный _с_ , эээ ,",с,,,,,,PR,С,S - - nonflex -,С
11442,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11443,,эээ,ЭЭЭ!,INTJ,,,"связанный с , _эээ_ , эзотерической темой",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
11444,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11445,,эзотерической,ЭЗОТЕРИЧЕСКИЙ,A - dat sg plen f -,,,", эээ , _эзотерической_ темой , потому что",й,о,к,с,е,ч,A,ЭЗОТЕРИЧЕСКИЙ,A - dat sg plen f -,Й
11446,,темой,ТЕМА,S f inan ins sg,,,"эээ , эзотерической _темой_ , потому что после",й,о,м,е,т,,S,ТЕМА,S f inan ins sg,А
11447,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11448,,потому что,потому что,CONJ,,,"эзотерической темой , _потому что_ после этого я",о,т,ч,,у,м,CONJ,потому что,CONJ,о
11449,,после,ПОСЛЕ,PR,,,"темой , потому что _после_ этого я каждый",е,л,с,о,п,,PR,ПОСЛЕ,PR,Е
11450,,этого,ЭТО,SPRO n - gen sg,,,", потому что после _этого_ я каждый раз",о,г,о,т,э,,SPRO,ЭТО,S n - gen sg,О
11451,,я,Я,SPRO sg 1p - nom,,,потому что после этого _я_ каждый раз ...,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11452,,каждый,КАЖДЫЙ,APRO - acc sg plen m inan,,,после этого я _каждый_ раз ... ммм,й,ы,д,ж,а,к,APRO,КАЖДЫЙ,A - acc sg plen m inan,Й
11453,,раз,РАЗ!,S m inan nom sg,,,этого я каждый _раз_ ... ммм ...,з,а,р,,,,S,РАЗ,S m inan acc sg,З
11454,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11455,,ммм,МММ,INTJ,,,каждый раз ... _ммм_ ... когда гадала,м,м,м,,,,INTJ,МММ,INTJ,М
11456,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11457,,когда,КОГДА,CONJ,,,... ммм ... _когда_ гадала и когда,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11458,,гадала,ГАДАТЬ,V ipf praet sg indic f -,,,ммм ... когда _гадала_ и когда сама,а,л,а,д,а,г,V,ГАДАТЬ,V ipf praet sg indic f -,Ь
11459,,и,И,CONJ,,,... когда гадала _и_ когда сама себе,и,,,,,,CONJ,И,CONJ,И
11460,,когда,КОГДА,CONJ,,,когда гадала и _когда_ сама себе представляла,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11461,,сама,САМ!,APRO - nom sg plen f -,,,гадала и когда _сама_ себе представляла эти,а,м,а,с,,,A,САМ,A - nom sg plen f -,М
11462,,себе,СЕБЯ,SPRO - - - dat,,,и когда сама _себе_ представляла эти все,е,б,е,с,,,SPRO,СЕБЯ,SPRO - - - dat,Я
11463,,представляла,ПРЕДСТАВЛЯТЬ,V ipf praet sg indic f -,,,когда сама себе _представляла_ эти все образы,а,л,я,л,в,а,V,ПРЕДСТАВЛЯТЬ,V ipf praet sg indic f -,Ь
11464,,эти,ЭТОТ,APRO - acc pl plen - inan,,,"сама себе представляла _эти_ все образы ,",и,т,э,,,,APRO,ЭТОТ,A - acc pl plen - inan,Т
11465,,все,ВЕСЬ!,APRO - acc pl plen - -,,,"себе представляла эти _все_ образы , мне",е,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
11466,,образы,ОБРАЗ!,S m inan acc pl,,,"представляла эти все _образы_ , мне это",ы,з,а,р,б,о,S,ОБРАЗ,S m inan nom pl,З
11467,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11468,,мне,Я,SPRO sg 1p - dat,,,"все образы , _мне_ это стало гораздо",е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
11469,,это,ЭТО,SPRO n - nom sg,,,"образы , мне _это_ стало гораздо проще",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
11470,,стало,СТАТЬ,V pf praet sg indic n -,,,", мне это _стало_ гораздо проще .",о,л,а,т,с,,V,СТАТЬ,V pf praet sg indic n -,Ь
11471,,гораздо,ГОРАЗДО,ADV -,,,мне это стало _гораздо_ проще .,о,д,з,а,р,о,ADV,ГОРАЗДО,ADV -,О
11472,,проще,ПРОСТО,ADV comp,,,это стало гораздо _проще_ .,е,щ,о,р,п,,ADV,ПРОСТО,ADV comp,О
11473,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11474,,,,,,,,,,,,,,,,,
11475,# sent = 854,,,,,,,,,,,,,,,,
11476,,То есть,То есть,CONJ,,,. _То есть_ я стала сразу,ь,т,с,е,,о,CONJ,То есть,ADV -,ь
11477,,я,Я,SPRO sg 1p - nom,,,То есть _я_ стала сразу понимать,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11478,,стала,СТАТЬ,V pf praet sg indic f -,,,"То есть я _стала_ сразу понимать ,",а,л,а,т,с,,V,СТАТЬ,V pf praet sg indic f -,Ь
11479,,сразу,СРАЗУ,ADV -,,,"То есть я стала _сразу_ понимать , сразу",у,з,а,р,с,,ADV,СРАЗУ,ADV -,У
11480,,понимать,ПОНИМАТЬ,V ipf - - inf - -,,,"я стала сразу _понимать_ , сразу выстраивать",ь,т,а,м,и,н,V,ПОНИМАТЬ,V ipf - - inf - -,Ь
11481,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11482,,сразу,СРАЗУ,ADV -,,,"сразу понимать , _сразу_ выстраивать у себя",у,з,а,р,с,,ADV,СРАЗУ,ADV -,У
11483,,выстраивать,ВЫСТРАИВАТЬ,V ipf - - inf - -,,,"понимать , сразу _выстраивать_ у себя в",ь,т,а,в,и,а,V,ВЫСТРАИВАТЬ,V ipf - - inf - -,Ь
11484,,у,У,PR,,,", сразу выстраивать _у_ себя в голове",у,,,,,,PR,У,PR,У
11485,,себя,СЕБЯ,SPRO - - - acc,,,сразу выстраивать у _себя_ в голове картинки,я,б,е,с,,,SPRO,СЕБЯ,SPRO - - - acc,Я
11486,,в,В,PR,,,выстраивать у себя _в_ голове картинки и,в,,,,,,PR,В,PR,В
11487,,голове,ГОЛОВА,S f inan loc sg,,,у себя в _голове_ картинки и ...,е,в,о,л,о,г,S,ГОЛОВА,S f inan loc sg,А
11488,,картинки,КАРТИНКА!,S f inan acc pl,,,себя в голове _картинки_ и ... да,и,к,н,и,т,р,S,КАРТИНКА,S f inan gen sg,А
11489,,и,И,CONJ,,,"в голове картинки _и_ ... да ,",и,,,,,,CONJ,И,CONJ,И
11490,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11491,,да,ДА!,PART,,,"картинки и ... _да_ , я считаю",а,д,,,,,CONJ,ДА,CONJ,А
11492,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11493,,я,Я,SPRO sg 1p - nom,,,"... да , _я_ считаю , что",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11494,,считаю,СЧИТАТЬ,V ipf praes sg indic - 1p,,,"да , я _считаю_ , что это",ю,а,т,и,ч,с,V,СЧИТАТЬ,V ipf praes sg indic - 1p,Ь
11495,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11496,,что,ЧТО,CONJ,,,"я считаю , _что_ это очень такое",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11497,,это,ЭТО,SPRO n - nom sg,,,"считаю , что _это_ очень такое важное",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
11498,,очень,ОЧЕНЬ,ADV -,,,", что это _очень_ такое важное ,",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
11499,,такое,ТАКОЙ,APRO - nom sg plen n -,,,"что это очень _такое_ важное , влиятельное",е,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen n -,Й
11500,,важное,ВАЖНЫЙ,A - nom sg plen n -,,,"это очень такое _важное_ , влиятельное событие",е,о,н,ж,а,в,A,ВАЖНЫЙ,A - nom sg plen n -,Й
11501,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11502,,влиятельное,ВЛИЯТЕЛЬНЫЙ,A - nom sg plen n -,,,"такое важное , _влиятельное_ событие , вот",е,о,н,ь,л,е,A,ВЛИЯТЕЛЬНЫЙ,A - nom sg plen n -,Й
11503,,событие,СОБЫТИЕ,S n inan nom sg,,,"важное , влиятельное _событие_ , вот .",е,и,т,ы,б,о,S,СОБЫТИЕ,S n inan nom sg,Е
11504,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11505,,вот,ВОТ,PART,,,"влиятельное событие , _вот_ .",т,о,в,,,,PART,ВОТ,PART,Т
11506,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11507,,,,,,,,,,,,,,,,,
11508,# sent = 855,,,,,,,,,,,,,,,,
11509,,Еще,ЕЩЕ,ADV -,,,. _Еще_ одно событие -,е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
11510,,одно,ОДИН,ANUM - nom sg plen n -,,,Еще _одно_ событие - это,о,н,д,о,,,ANUM,ОДИН,A - nom sg plen n -,Н
11511,,событие,СОБЫТИЕ,S n inan nom sg,,,Еще одно _событие_ - это забавно,е,и,т,ы,б,о,S,СОБЫТИЕ,S n inan nom sg,Е
11512,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
11513,,это,ЭТО,SPRO n - nom sg,,,"одно событие - _это_ забавно , потому что",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
11514,,забавно,ЗАБАВНО!,PRAEDIC,,,"событие - это _забавно_ , потому что получается",о,н,в,а,б,а,A,ЗАБАВНЫЙ,A - - sg brev n -,Й
11515,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11516,,потому что,потому что,CONJ,,,"это забавно , _потому что_ получается , что",о,т,ч,,у,м,CONJ,потому что,CONJ,о
11517,,получается,ПОЛУЧАТЬСЯ,V ipf praes sg indic - 3p,,,"забавно , потому что _получается_ , что я",я,с,т,е,а,ч,V,ПОЛУЧАТЬСЯ,V ipf praes sg indic - 3p,Я
11518,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11519,,что,ЧТО,CONJ,,,"потому что получается , _что_ я сначала рассказала",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11520,,я,Я,SPRO sg 1p - nom,,,"получается , что _я_ сначала рассказала про",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11521,,сначала,СНАЧАЛА,ADV -,,,", что я _сначала_ рассказала про таро",а,л,а,ч,а,н,ADV,СНАЧАЛА,ADV -,А
11522,,рассказала,РАССКАЗАТЬ,V pf praet sg indic f -,,,"что я сначала _рассказала_ про таро ,",а,л,а,з,а,к,V,РАССКАЗАТЬ,V pf praet sg indic f -,Ь
11523,,про,ПРО,PR,,,"я сначала рассказала _про_ таро , а",о,р,п,,,,PR,ПРО,PR,О
11524,,таро,ТАРО,S n inan acc sg,,,"сначала рассказала про _таро_ , а теперь",о,р,а,т,,,S,ТАРО,S f inan nonflex -,О
11525,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11526,,а,А,CONJ,,,"про таро , _а_ теперь рассказываю о",а,,,,,,CONJ,А,CONJ,А
11527,,теперь,ТЕПЕРЬ,ADV -,,,"таро , а _теперь_ рассказываю о событии",ь,р,е,п,е,т,ADV,ТЕПЕРЬ,ADV -,Ь
11528,,рассказываю,РАССКАЗЫВАТЬ,V ipf praes sg indic - 1p,,,", а теперь _рассказываю_ о событии ,",ю,а,в,ы,з,а,V,РАССКАЗЫВАТЬ,V ipf praes sg indic - 1p,Ь
11529,,о,О,PR,,,"а теперь рассказываю _о_ событии , которое",о,,,,,,PR,О,PR,О
11530,,событии,СОБЫТИЕ,S n inan loc sg,,,"теперь рассказываю о _событии_ , которое вообще-то",и,и,т,ы,б,о,S,СОБЫТИЕ,S n inan loc sg,Е
11531,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11532,,которое,КОТОРЫЙ,APRO - nom sg plen n -,,,"о событии , _которое_ вообще-то гораздо важнее",е,о,р,о,т,о,APRO,КОТОРЫЙ,A - nom sg plen n -,Й
11533,,вообще-то,ВООБЩЕ-ТО!,PART,,,"событии , которое _вообще-то_ гораздо важнее ,",о,т,-,е,щ,б,ADV,ВООБЩЕ-ТО,ADV -,О
11534,,гораздо,ГОРАЗДО,ADV -,,,", которое вообще-то _гораздо_ важнее , чем",о,д,з,а,р,о,ADV,ГОРАЗДО,ADV -,О
11535,,важнее,ВАЖНЫЙ,A comp - - plen - -,,,"которое вообще-то гораздо _важнее_ , чем таро",е,е,н,ж,а,в,A,ВАЖНЫЙ,A comp - - plen - -,Й
11536,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11537,,чем,ЧЕМ,CONJ,,,"гораздо важнее , _чем_ таро , -",м,е,ч,,,,CONJ,ЧЕМ,CONJ,М
11538,,таро,ТАРО,S n inan nom sg,,,"важнее , чем _таро_ , -",о,р,а,т,,,S,ТАРО,S n inan nonflex -,О
11539,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11540,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
11541,"<distinct form=""",,,,,,,,,,,,,,,,
11542,<dist>,этооо,,,,,,,,,,,,,,,
11543,""">",,,,,,,,,,,,,,,,
11544,,это,ЭТО!,PART,,,этооо _это_ когда я,о,т,э,,,,SPRO,ЭТО,S n - acc sg,О
11545,</distinct>,,,,,,,,,,,,,,,,
11546,,когда,КОГДА!,ADVPRO -,,,это _когда_ я поступила в,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11547,,я,Я,SPRO sg 1p - nom,,,это когда _я_ поступила в университет,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11548,,поступила,ПОСТУПИТЬ,V pf praet sg indic f -,,,"когда я _поступила_ в университет ,",а,л,и,п,у,т,V,ПОСТУПИТЬ,V pf praet sg indic f -,Ь
11549,,в,В,PR,,,"когда я поступила _в_ университет , потому что",в,,,,,,PR,В,PR,В
11550,,университет,УНИВЕРСИТЕТ,S m inan acc sg,,,"я поступила в _университет_ , потому что до",т,е,т,и,с,р,S,УНИВЕРСИТЕТ,S m inan acc sg,Т
11551,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11552,,потому что,потому что,CONJ,,,"в университет , _потому что_ до того ,",о,т,ч,,у,м,CONJ,потому что,CONJ,о
11553,,до,ДО,PR,,,"университет , потому что _до_ того , как",о,д,,,,,PR,ДО,PR,О
11554,,того,ТО,SPRO n - gen sg,,,", потому что до _того_ , как я",о,г,о,т,,,SPRO,ТО,S n - gen sg,О
11555,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11556,,как,КАК,CONJ,,,"до того , _как_ я поступила в",к,а,к,,,,CONJ,КАК,CONJ,К
11557,,я,Я,SPRO sg 1p - nom,,,"того , как _я_ поступила в университет",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11558,,поступила,ПОСТУПИТЬ,V pf praet sg indic f -,,,", как я _поступила_ в университет ,",а,л,и,п,у,т,V,ПОСТУПИТЬ,V pf praet sg indic f -,Ь
11559,,в,В,PR,,,"как я поступила _в_ университет , у",в,,,,,,PR,В,PR,В
11560,,университет,УНИВЕРСИТЕТ,S m inan acc sg,,,"я поступила в _университет_ , у меня",т,е,т,и,с,р,S,УНИВЕРСИТЕТ,S m inan acc sg,Т
11561,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11562,,у,У,PR,,,"в университет , _у_ меня было все",у,,,,,,PR,У,PR,У
11563,,меня,Я!,SPRO sg 1p - gen,,,"университет , у _меня_ было все очень",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11564,,было,БЫТЬ,V ipf praet sg indic n -,,,", у меня _было_ все очень плохо",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
11565,,все,ВСЕ!,SPRO nom sg n,,,"у меня было _все_ очень плохо ,",е,с,в,,,,S,ВСЕ,S - - acc pl,Е
11566,,очень,ОЧЕНЬ,ADV -,,,"меня было все _очень_ плохо , ааа",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
11567,,плохо,ПЛОХО,ADV -,,,"было все очень _плохо_ , ааа ,",о,х,о,л,п,,ADV,ПЛОХО,ADV -,О
11568,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11569,,ааа,ААА,INTJ,,,"очень плохо , _ааа_ , у меня",а,а,а,,,,INTJ,ААА,INTJ,А
11570,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11571,,у,У,PR,,,", ааа , _у_ меня были очень",у,,,,,,PR,У,PR,У
11572,,меня,Я!,SPRO sg 1p - gen,,,"ааа , у _меня_ были очень плохие",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11573,,были,БЫТЬ,V ipf praet pl indic - -,,,", у меня _были_ очень плохие отношения",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
11574,,очень,ОЧЕНЬ,ADV -,,,у меня были _очень_ плохие отношения с,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
11575,,плохие,ПЛОХОЙ,A - nom pl plen - -,,,меня были очень _плохие_ отношения с одноклассниками,е,и,х,о,л,п,A,ПЛОХОЙ,A - nom pl plen - -,Й
11576,,отношения,ОТНОШЕНИЕ,S n inan nom pl,,,"были очень плохие _отношения_ с одноклассниками ,",я,и,н,е,ш,о,S,ОТНОШЕНИЕ,S n inan nom pl,Е
11577,,с,С,PR,,,"очень плохие отношения _с_ одноклассниками , у",с,,,,,,PR,С,PR,С
11578,,одноклассниками,ОДНОКЛАССНИК,S m anim ins pl,,,"плохие отношения с _одноклассниками_ , у меня",и,м,а,к,и,н,S,ОДНОКЛАССНИК,S m anim ins pl,К
11579,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11580,,у,У,PR,,,"с одноклассниками , _у_ меня были так",у,,,,,,PR,У,PR,У
11581,,меня,Я!,SPRO sg 1p - gen,,,"одноклассниками , у _меня_ были так себе",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11582,,были,БЫТЬ,V ipf praet pl indic - -,,,", у меня _были_ так себе учителя",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
11583,,так,ТАК!,ADVPRO -,,,"у меня были _так_ себе учителя ,",к,а,т,,,,ADV,ТАК,ADV -,К
11584,,себе,СЕБЯ,SPRO - - - dat,,,"меня были так _себе_ учителя , ааа",е,б,е,с,,,SPRO,СЕБЕ,SPRO - - - dat,Я
11585,,учителя,УЧИТЕЛЬ,S m anim nom pl,,,"были так себе _учителя_ , ааа ,",я,л,е,т,и,ч,S,УЧИТЕЛЬ,S m anim gen sg,Ь
11586,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11587,,ааа,ААА,INTJ,,,"себе учителя , _ааа_ , так себе",а,а,а,,,,INTJ,ААА,INTJ,А
11588,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
